unnamed:_0,customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month,income_category,clv_category
1745,RT17851,oregon,5209.945549,no,Extended,high school or below,2011-02-16,Employed,f,37940,Urban,Married,129,11.0,36,0.0,1,special auto,Special L3,Offer1,Branch,512.542299,suv,Medsize,A,2,medium,high
1746,WT65970,california,7209.088399,no,Extended,high school or below,2011-01-02,Unemployed,f,0,Suburban,Single,99,0.0,53,0.0,5,personal auto,Personal L2,Offer1,Agent,715.039363,four-door car,Medsize,A,1,low,high
1747,IY38767,oregon,5325.724541,yes,Basic,high school or below,2011-02-21,Unemployed,m,0,Suburban,Married,73,17.0,44,0.0,7,personal auto,Personal L3,Offer2,Call Center,496.474767,four-door car,Medsize,A,2,low,high
1748,EH13261,california,2637.148672,no,Basic,master,2011-01-26,Employed,m,50512,Suburban,Single,67,19.0,16,0.0,1,personal auto,Personal L1,Offer3,Branch,351.403677,four-door car,Large,A,1,medium,medium
1749,JJ23168,arizona,7785.666532,no,Basic,high school or below,2011-01-25,Employed,f,20497,Suburban,Married,65,17.0,94,0.0,2,personal auto,Personal L2,Offer4,Branch,425.358596,four-door car,Small,A,1,low,high
1750,YT25875,california,2776.582901,no,Basic,college,2011-02-08,Employed,f,50985,Urban,Divorced,71,7.0,31,0.0,1,personal auto,Personal L2,Offer4,Agent,307.68931,two-door car,Medsize,A,2,medium,medium
1751,LR10110,washington,5504.139033,yes,Basic,bachelor,2011-02-08,Unemployed,f,0,Suburban,Married,73,15.149070740488469,45,0.384256105867471,5,corporate auto,Corporate L3,Offer1,Call Center,350.4,four-door car,Medsize,A,2,low,high
1752,SF18484,oregon,19837.30548,no,Basic,master,2011-02-24,Unemployed,f,0,Suburban,Married,67,22.0,0,1.0,2,personal auto,Personal L1,Offer1,Branch,321.6,four-door car,Medsize,A,2,low,high
1753,FG29932,california,7840.165778,yes,Extended,college,2011-01-14,Employed,m,58414,Suburban,Single,210,7.0,24,2.0,1,special auto,Special L2,Offer2,Agent,1008.0,luxury suv,Small,A,1,medium,high
1754,BG76355,washington,6274.123875,no,Extended,bachelor,2011-01-31,Employed,f,68964,Rural,Married,78,15.0,6,0.0,3,personal auto,Personal L3,Offer3,Web,115.086827,four-door car,Medsize,A,1,medium,high
1755,IJ25462,california,2845.520933,no,Basic,bachelor,2011-02-07,Employed,m,86631,Suburban,Divorced,73,7.0,44,1.0,1,personal auto,Personal L2,Offer3,Agent,400.832857,four-door car,Medsize,A,2,high,medium
1756,LR37068,oregon,11030.66148,no,Extended,college,2011-01-10,Employed,f,35773,Suburban,Married,93,25.0,89,0.0,2,personal auto,Personal L3,Offer1,Web,446.4,four-door car,Medsize,A,1,medium,high
1757,AJ58038,california,2396.219292,yes,Basic,bachelor,2011-01-10,Unemployed,f,0,Suburban,Married,66,6.0,71,2.0,1,corporate auto,Corporate L1,Offer2,Call Center,433.160284,four-door car,Large,A,1,low,medium
1758,WL63802,california,6425.709981,no,Basic,high school or below,2011-01-19,Unemployed,m,0,Suburban,Single,181,13.0,16,0.0,1,personal auto,Personal L3,Offer1,Web,1303.2,luxury car,Small,A,1,low,high
1759,RQ16234,arizona,9837.507586,no,Extended,high school or below,2011-02-16,Employed,f,55099,Rural,Divorced,122,33.0,86,0.0,3,corporate auto,Corporate L3,Offer2,Branch,260.265417,sports car,Medsize,A,2,medium,high
1760,JZ15681,california,3624.901612,no,Extended,high school or below,2011-01-10,Employed,m,37843,Urban,Divorced,92,2.0,17,0.0,1,personal auto,Personal L3,Offer3,Agent,354.455466,four-door car,Medsize,A,1,medium,medium
1761,LF94873,california,13045.37088,no,Premium,college,2011-02-23,Unemployed,f,0,Suburban,Single,190,21.0,35,1.0,7,personal auto,Personal L3,Offer3,Branch,1654.202174,suv,Medsize,A,2,low,high
1762,DM95829,california,2523.959554,no,Basic,college,2011-02-24,Medical Leave,m,16244,Suburban,Married,68,4.0,85,0.0,1,personal auto,Personal L3,Offer4,Call Center,623.223617,two-door car,Medsize,A,2,low,medium
1763,SG86615,oregon,14558.42424,no,Basic,high school or below,2011-01-28,Employed,m,40260,Urban,Married,73,20.0,20,0.0,2,personal auto,Personal L1,Offer4,Web,299.505575,four-door car,Medsize,A,1,medium,high
1764,NE58217,oregon,27064.46339,no,Premium,bachelor,2011-02-19,Employed,f,83560,Rural,Married,113,5.0,76,1.0,2,corporate auto,Corporate L2,Offer1,Agent,276.048405,four-door car,Large,A,2,high,high
1765,MR22119,oregon,4430.572112,no,Basic,high school or below,2011-01-07,Employed,m,24059,Suburban,Married,112,31.0,17,0.0,1,personal auto,Personal L3,Offer4,Web,537.6,suv,Medsize,A,1,low,medium
1766,OW20992,california,2311.118403,no,Basic,high school or below,2011-01-18,Unemployed,m,0,Suburban,Single,68,0.0,45,0.0,1,personal auto,Personal L2,Offer2,Web,489.6,four-door car,Medsize,A,1,low,medium
1767,KE70943,california,10090.40808,no,Extended,college,2011-01-20,Employed,f,97238,Suburban,Divorced,126,6.0,91,0.0,3,personal auto,Personal L3,Offer3,Web,604.8,suv,Medsize,A,1,high,high
1768,ZI69514,california,4821.213012,no,Basic,college,2011-01-24,Employed,m,63391,Rural,Married,64,28.0,48,4.0,3,corporate auto,Corporate L3,Offer3,Agent,119.587974,four-door car,Medsize,A,1,medium,medium
1769,OQ43721,oregon,2648.471057,no,Basic,high school or below,2011-01-22,Disabled,f,26540,Suburban,Married,69,15.0,4,0.0,1,personal auto,Personal L2,Offer2,Branch,378.432035,four-door car,Medsize,A,1,low,medium
1770,XY28151,california,2317.282049,no,Basic,bachelor,2011-01-16,Unemployed,f,0,Suburban,Single,68,10.0,81,0.0,1,corporate auto,Corporate L2,Offer1,Call Center,489.6,two-door car,Medsize,A,1,low,medium
1771,MO56878,california,15488.43196,no,Basic,bachelor,2011-01-05,Employed,m,33799,Suburban,Single,109,28.0,52,3.0,2,corporate auto,Corporate L3,Offer2,Agent,664.980242,suv,Small,A,1,medium,high
1772,SL19130,oregon,4101.935985,no,Premium,high school or below,2011-01-05,Unemployed,m,0,Suburban,Single,115,1.0,34,0.0,1,personal auto,Personal L1,Offer1,Branch,552.0,two-door car,Medsize,A,1,low,medium
1773,ZP64637,arizona,3857.770745,no,Basic,high school or below,2011-01-29,Unemployed,m,0,Suburban,Single,110,20.0,62,0.0,1,corporate auto,Corporate L3,Offer1,Web,792.0,sports car,Medsize,A,1,low,medium
1774,CS30372,oregon,5420.339434,no,Basic,bachelor,2011-02-23,Employed,m,21881,Rural,Married,69,9.0,27,0.0,5,corporate auto,Corporate L3,Offer3,Agent,133.099001,four-door car,Medsize,A,2,low,high
1775,SZ61563,california,36632.53432,no,Extended,bachelor,2011-01-21,Employed,m,70908,Urban,Divorced,132,0.0,71,1.0,2,personal auto,Personal L2,Offer1,Call Center,521.444011,suv,Medsize,A,1,high,high
1776,YE20366,california,7183.071115,no,Basic,bachelor,2011-01-09,Medical Leave,m,14390,Suburban,Single,65,16.0,4,0.0,2,personal auto,Personal L2,Offer1,Agent,402.778867,four-door car,Medsize,A,1,low,high
1777,UW20734,california,3590.693623,no,Extended,college,2011-01-09,Employed,f,82918,Rural,Married,89,28.0,50,0.0,1,personal auto,Personal L2,Offer2,Branch,29.828668,two-door car,Small,A,1,high,medium
1778,LV57595,california,5181.620895,no,Basic,master,2011-02-03,Employed,f,97131,Suburban,Married,64,15.149070740488469,80,0.384256105867471,6,corporate auto,Corporate L3,Offer2,Agent,307.2,four-door car,Small,A,2,high,high
1779,ZO42514,california,9159.005771,no,Premium,bachelor,2011-02-26,Employed,f,96331,Urban,Divorced,114,33.0,38,0.0,9,personal auto,Personal L3,Offer3,Agent,491.027024,two-door car,Medsize,A,2,high,high
1780,HX44948,oregon,5759.91084,no,Basic,bachelor,2011-01-28,Employed,m,85448,Rural,Married,72,16.0,76,0.0,3,special auto,Special L2,Offer3,Agent,16.03451,four-door car,Medsize,A,1,high,high
1781,AB21519,california,3861.486269,no,Extended,college,2011-01-06,Employed,f,93272,Urban,Married,95,3.0,54,0.0,1,personal auto,Personal L3,Offer2,Branch,281.110788,four-door car,Medsize,A,1,high,medium
1782,QY56887,arizona,14208.50598,no,Extended,high school or below,2011-02-08,Unemployed,f,0,Suburban,Single,131,12.0,26,0.0,2,corporate auto,Corporate L3,Offer3,Agent,943.2,suv,Medsize,A,2,low,high
1783,QO41043,oregon,14476.12489,no,Extended,college,2011-02-25,Disabled,f,27572,Suburban,Married,124,15.149070740488469,57,0.384256105867471,2,corporate auto,Corporate L3,Offer3,Branch,595.2,suv,Medsize,A,2,low,high
1784,HK26543,california,5045.866663,no,Basic,high school or below,2011-01-27,Employed,m,28056,Suburban,Married,64,32.0,41,1.0,8,personal auto,Personal L3,Offer1,Branch,307.2,four-door car,Medsize,A,1,low,high
1785,QQ69088,washington,5577.669457,no,Basic,doctor,2011-01-17,Disabled,m,11097,Suburban,Married,73,26.0,50,0.0,4,corporate auto,Corporate L3,Offer3,Web,350.4,two-door car,Small,A,1,low,high
1786,UO62808,arizona,2799.74791,no,Basic,high school or below,2011-02-04,Employed,f,65351,Suburban,Married,69,4.0,54,0.0,1,corporate auto,Corporate L1,Offer2,Call Center,481.027516,four-door car,Medsize,A,2,medium,medium
1787,CA56041,california,9120.065162,no,Basic,college,2011-02-16,Employed,f,63878,Urban,Married,113,32.0,47,0.0,9,personal auto,Personal L3,Offer3,Call Center,370.285349,suv,Small,A,2,medium,high
1788,MI91352,california,8382.478392,yes,Basic,bachelor,2011-01-27,Employed,m,25998,Suburban,Married,71,16.0,38,0.0,2,personal auto,Personal L1,Offer2,Call Center,791.878042,four-door car,Medsize,A,1,low,high
1789,YB49540,california,5254.019142,no,Basic,college,2011-01-19,Employed,f,95017,Suburban,Married,65,5.0,36,0.0,3,personal auto,Personal L3,Offer2,Web,324.99944,four-door car,Medsize,A,1,high,high
1790,NN44612,nevada,4909.844198,no,Basic,bachelor,2011-02-28,Employed,f,61402,Urban,Divorced,62,1.0,69,0.0,3,personal auto,Personal L3,Offer1,Agent,252.157829,two-door car,Medsize,A,2,medium,medium
1791,JG12505,nevada,4064.182317,no,Basic,master,2011-01-31,Employed,f,26599,Rural,Married,101,24.0,83,0.0,1,personal auto,Personal L2,Offer1,Web,254.380731,four-door car,Medsize,A,1,low,medium
1792,NC80854,california,4940.940943,no,Basic,college,2011-01-09,Unemployed,f,0,Suburban,Single,71,22.0,57,0.0,9,personal auto,Personal L2,Offer3,Agent,511.750971,four-door car,Medsize,A,1,low,medium
1793,HP46467,oregon,4953.086407,no,Extended,college,2011-02-18,Employed,f,21385,Suburban,Divorced,127,14.0,37,0.0,1,corporate auto,Corporate L2,Offer3,Web,609.6,suv,Large,A,2,low,medium
1794,HN63935,arizona,3433.82408,no,Extended,master,2011-02-08,Employed,m,85367,Rural,Married,85,27.0,20,0.0,1,personal auto,Personal L2,Offer4,Agent,67.975243,four-door car,Large,A,2,high,medium
1795,HF65914,arizona,6940.972823,no,Extended,college,2011-01-03,Unemployed,m,0,Suburban,Married,92,4.0,60,0.0,3,personal auto,Personal L1,Offer1,Branch,441.6,two-door car,Medsize,A,1,low,high
1796,SW19699,arizona,2755.747968,no,Basic,bachelor,2011-01-07,Employed,f,49648,Rural,Divorced,70,0.0,23,0.0,1,personal auto,Personal L3,Offer2,Call Center,65.954813,four-door car,Medsize,A,1,medium,medium
1797,CC16034,oregon,17103.79173,no,Basic,high school or below,2011-01-28,Employed,f,51747,Suburban,Married,71,8.0,71,0.0,2,personal auto,Personal L3,Offer2,Web,340.8,four-door car,Medsize,A,1,medium,high
1798,MU75490,oregon,8417.102804,no,Basic,bachelor,2011-01-25,Employed,m,31756,Urban,Married,107,1.0,97,0.0,3,corporate auto,Corporate L3,Offer1,Agent,415.850776,suv,Medsize,A,1,medium,high
1799,AT49447,california,7591.827171,no,Extended,bachelor,2011-01-15,Employed,m,99359,Rural,Married,95,16.0,19,0.0,9,personal auto,Personal L3,Offer2,Call Center,233.265397,two-door car,Medsize,A,1,high,high
1800,VW86720,oregon,7457.468107,no,Basic,bachelor,2011-01-05,Unemployed,f,0,Suburban,Single,69,15.0,73,0.0,2,personal auto,Personal L1,Offer1,Call Center,678.209827,four-door car,Small,A,1,low,high
1801,YA83600,california,2753.312714,no,Basic,high school or below,2011-01-07,Employed,f,28887,Suburban,Single,73,16.0,15,2.0,1,personal auto,Personal L2,Offer1,Branch,425.81795,four-door car,Medsize,A,1,low,medium
1802,TB40283,california,14635.45158,yes,Extended,bachelor,2011-02-27,Unemployed,f,0,Suburban,Divorced,139,5.0,56,0.0,2,corporate auto,Corporate L2,Offer1,Call Center,667.2,suv,Medsize,A,2,low,high
1803,KH12081,arizona,8129.511,no,Basic,high school or below,2011-02-26,Unemployed,f,0,Suburban,Divorced,119,3.0,11,1.0,8,personal auto,Personal L3,Offer2,Branch,729.405742,suv,Large,A,2,low,high
1804,NB39218,california,12315.09489,no,Premium,high school or below,2011-01-27,Employed,m,68420,Suburban,Married,104,5.0,27,1.0,2,personal auto,Personal L2,Offer2,Branch,499.2,four-door car,Medsize,A,1,medium,high
1805,LB35863,california,7244.497284,no,Basic,bachelor,2011-01-16,Unemployed,f,0,Suburban,Single,103,1.0,51,0.0,3,personal auto,Personal L1,Offer2,Agent,494.4,suv,Small,A,1,low,high
1806,TF35512,oregon,7025.65076,no,Extended,college,2011-01-23,Employed,f,48117,Suburban,Married,88,4.0,51,0.0,3,corporate auto,Corporate L3,Offer3,Agent,422.4,four-door car,Medsize,A,1,medium,high
1807,PB60303,oregon,18089.79629,no,Extended,master,2011-02-15,Employed,f,68568,Suburban,Married,223,5.0,28,1.0,6,personal auto,Personal L3,Offer4,Branch,1070.4,luxury car,Medsize,A,2,medium,high
1808,WU50951,washington,6846.150323,yes,Extended,bachelor,2011-01-27,Unemployed,f,0,Suburban,Divorced,95,13.0,20,0.0,5,personal auto,Personal L2,Offer1,Call Center,456.0,two-door car,Large,A,1,low,high
1809,QO62792,oregon,7840.165778,yes,Extended,college,2011-01-14,Employed,m,58414,Suburban,Single,210,7.0,24,2.0,1,personal auto,Personal L3,Offer2,Agent,1008.0,luxury suv,Small,A,1,medium,high
1810,CA45756,arizona,22185.88045,no,Basic,master,2011-02-27,Employed,f,60426,Rural,Single,62,15.149070740488469,97,0.384256105867471,2,corporate auto,Corporate L2,Offer1,Call Center,133.284622,two-door car,Medsize,A,2,medium,high
1811,LC42182,nevada,30442.53824,no,Premium,high school or below,2011-01-23,Employed,f,64321,Rural,Divorced,253,15.149070740488469,75,0.384256105867471,2,personal auto,Personal L3,Offer1,Agent,422.438297,luxury suv,Medsize,A,1,medium,high
1812,XB64207,arizona,4117.4697,no,Basic,bachelor,2011-01-08,Employed,f,86101,Urban,Married,102,4.0,73,0.0,1,personal auto,Personal L1,Offer1,Agent,344.736945,suv,Medsize,A,1,high,medium
1813,FN69743,california,4636.54647,yes,Basic,college,2011-01-01,Retired,m,26802,Suburban,Married,66,7.0,43,1.0,5,corporate auto,Corporate L1,Offer2,Agent,316.8,two-door car,Medsize,A,1,low,medium
1814,OE51254,california,2790.682957,no,Basic,college,2011-02-10,Employed,f,53882,Suburban,Married,69,14.0,33,0.0,1,personal auto,Personal L3,Offer1,Agent,331.2,four-door car,Medsize,A,2,medium,medium
1815,KC17606,california,5244.550942,no,Basic,college,2011-02-09,Employed,f,27444,Urban,Married,66,21.0,88,0.0,3,personal auto,Personal L3,Offer3,Web,313.931213,four-door car,Large,A,2,low,high
1816,OT42923,california,2751.250209,no,Basic,high school or below,2011-02-20,Employed,m,86788,Suburban,Single,70,32.0,68,0.0,1,personal auto,Personal L3,Offer2,Agent,336.0,four-door car,Medsize,A,2,high,medium
1817,AS55677,california,8338.995787,no,Premium,high school or below,2011-01-15,Employed,f,70534,Rural,Divorced,104,31.0,71,0.0,3,personal auto,Personal L2,Offer3,Branch,54.065538,four-door car,Medsize,A,1,high,high
1818,LC92080,oregon,7247.736708,no,Basic,college,2011-01-01,Employed,m,23541,Rural,Married,62,12.0,38,0.0,2,personal auto,Personal L3,Offer2,Agent,98.923871,two-door car,Medsize,A,1,low,high
1819,QA41558,oregon,5419.45812,no,Basic,master,2011-01-06,Employed,f,73536,Urban,Married,67,29.0,27,0.0,6,personal auto,Personal L1,Offer2,Branch,172.518524,two-door car,Medsize,A,1,high,high
1820,KX79225,oregon,20123.86854,no,Basic,high school or below,2011-01-26,Unemployed,m,0,Suburban,Single,70,18.0,23,0.0,2,personal auto,Personal L2,Offer1,Call Center,504.0,four-door car,Small,A,1,low,high
1821,TJ30081,arizona,12036.62051,yes,Basic,bachelor,2011-02-10,Employed,m,44428,Suburban,Single,104,17.0,61,0.0,2,personal auto,Personal L2,Offer1,Call Center,499.2,suv,Medsize,A,2,medium,high
1822,JF16295,oregon,7547.762822,no,Premium,high school or below,2011-02-16,Unemployed,f,0,Suburban,Married,102,34.0,37,0.0,3,personal auto,Personal L2,Offer3,Agent,489.6,four-door car,Medsize,A,2,low,high
1823,KM18818,arizona,2590.654042,no,Basic,college,2011-02-21,Employed,f,25981,Rural,Married,65,15.149070740488469,38,0.384256105867471,1,personal auto,Personal L3,Offer1,Agent,77.54669,two-door car,Large,A,2,low,medium
1824,KJ50265,washington,10418.31143,no,Extended,high school or below,2011-01-12,Disabled,m,27951,Suburban,Married,91,32.0,4,0.0,2,personal auto,Personal L3,Offer1,Branch,436.8,four-door car,Medsize,A,1,low,high
1825,FB55024,oregon,3286.171949,no,Extended,high school or below,2011-02-07,Employed,f,60934,Suburban,Married,82,15.0,64,0.0,1,personal auto,Personal L3,Offer2,Call Center,393.6,two-door car,Large,A,2,medium,medium
1826,NV14535,nevada,10408.96865,yes,Basic,high school or below,2011-02-18,Retired,m,20228,Suburban,Divorced,101,3.0,43,1.0,2,personal auto,Personal L2,Offer1,Branch,523.815839,suv,Medsize,A,2,low,high
1827,YH43996,arizona,10189.65429,no,Premium,college,2011-01-21,Unemployed,m,0,Suburban,Single,101,15.0,90,0.0,2,personal auto,Personal L3,Offer1,Branch,727.2,four-door car,Small,A,1,low,high
1828,ZF58696,california,13104.14911,no,Extended,high school or below,2011-02-07,Unemployed,m,0,Suburban,Single,130,7.0,31,0.0,2,personal auto,Personal L3,Offer1,Agent,1430.548077,sports car,Medsize,A,2,low,high
1829,TN64240,california,7853.961409,no,Extended,bachelor,2011-02-21,Employed,f,42582,Suburban,Divorced,99,1.0,57,0.0,5,corporate auto,Corporate L3,Offer4,Call Center,629.344642,four-door car,Small,A,2,medium,high
1830,OY96856,oregon,8044.872393,yes,Basic,bachelor,2011-02-19,Employed,m,71391,Urban,Married,67,29.0,39,0.0,2,personal auto,Personal L3,Offer2,Agent,284.000172,four-door car,Medsize,A,2,high,high
1831,LB97434,arizona,5531.627731,no,Basic,bachelor,2011-01-21,Employed,m,50648,Suburban,Married,69,27.0,50,1.0,9,personal auto,Personal L3,Offer1,Call Center,331.2,two-door car,Medsize,A,1,medium,high
1832,PF40592,washington,4942.630606,no,Basic,college,2011-01-08,Medical Leave,f,23285,Rural,Married,65,30.0,22,0.0,7,personal auto,Personal L2,Offer2,Web,118.446235,two-door car,Medsize,A,1,low,medium
1833,BV33510,arizona,26413.54751,no,Extended,high school or below,2011-02-24,Employed,f,24631,Suburban,Married,83,25.0,87,1.0,2,personal auto,Personal L3,Offer2,Web,398.4,four-door car,Large,A,2,low,high
1834,SE76116,california,9567.711298,no,Basic,bachelor,2011-01-29,Employed,m,81410,Rural,Divorced,119,8.0,86,0.0,7,personal auto,Personal L2,Offer1,Branch,221.188327,suv,Medsize,A,1,high,high
1835,JB51220,oregon,10915.35877,no,Premium,high school or below,2011-02-15,Unemployed,f,0,Suburban,Single,155,9.0,62,1.0,8,corporate auto,Corporate L2,Offer1,Call Center,1116.0,sports car,Medsize,A,2,low,high
1836,LK74984,washington,2459.171724,no,Basic,high school or below,2011-01-12,Employed,m,21190,Suburban,Married,65,24.0,68,2.0,1,personal auto,Personal L3,Offer2,Call Center,312.0,four-door car,Medsize,A,1,low,medium
1837,TD20252,arizona,5317.807221,no,Basic,college,2011-01-08,Employed,m,74092,Suburban,Married,67,17.0,72,0.0,3,personal auto,Personal L2,Offer2,Agent,321.6,four-door car,Medsize,A,1,high,high
1838,KM79894,arizona,3095.175379,no,Extended,master,2011-01-21,Employed,m,88246,Suburban,Married,77,3.0,27,1.0,1,corporate auto,Corporate L3,Offer2,Agent,428.608683,four-door car,Medsize,A,1,high,medium
1839,WX92363,washington,4250.775183,no,Basic,bachelor,2011-02-23,Employed,f,27608,Urban,Divorced,108,30.0,89,0.0,1,personal auto,Personal L3,Offer1,Branch,308.953614,suv,Medsize,A,2,low,medium
1840,VZ79366,california,4362.931238,yes,Premium,college,2011-01-03,Employed,m,58842,Suburban,Married,110,6.0,74,0.0,1,personal auto,Personal L2,Offer2,Branch,528.0,four-door car,Medsize,A,1,medium,medium
1841,IS58493,oregon,4369.697742,no,Basic,master,2011-02-11,Employed,m,40774,Urban,Married,110,28.0,59,1.0,1,personal auto,Personal L3,Offer1,Agent,394.968488,sports car,Medsize,A,2,medium,medium
1842,BE33446,arizona,5015.009472,yes,Extended,bachelor,2011-02-03,Employed,f,48567,Suburban,Single,130,12.0,15,0.0,1,personal auto,Personal L1,Offer2,Agent,624.0,suv,Medsize,A,2,medium,high
1843,UN49741,oregon,11121.62179,no,Basic,high school or below,2011-02-17,Employed,m,44299,Suburban,Divorced,106,25.0,76,5.0,2,personal auto,Personal L1,Offer1,Call Center,754.260616,suv,Medsize,A,2,medium,high
1844,BE92692,oregon,2487.777024,no,Basic,bachelor,2011-02-21,Employed,m,69236,Rural,Married,63,31.0,83,1.0,1,personal auto,Personal L2,Offer3,Branch,110.868874,four-door car,Medsize,A,2,medium,medium
1845,IR62720,nevada,6842.580052,no,Extended,bachelor,2011-02-19,Disabled,m,25259,Suburban,Married,87,18.0,8,0.0,9,personal auto,Personal L1,Offer3,Agent,417.6,four-door car,Medsize,A,2,low,high
1846,DS45844,california,4167.094538,no,Basic,college,2011-02-13,Unemployed,m,0,Rural,Married,117,8.0,64,0.0,1,corporate auto,Corporate L3,Offer3,Agent,94.94292,sports car,Medsize,A,2,low,medium
1847,YR30159,california,20936.33105,no,Basic,college,2011-02-06,Employed,m,20309,Suburban,Divorced,181,5.0,12,0.0,2,personal auto,Personal L3,Offer1,Agent,1579.854155,luxury car,Medsize,A,2,low,high
1848,EN61670,arizona,5332.462694,yes,Basic,doctor,2011-02-22,Employed,f,68931,Urban,Married,66,32.0,30,0.0,7,personal auto,Personal L1,Offer2,Branch,309.577946,four-door car,Medsize,A,2,medium,high
1849,XR71687,oregon,9407.452895,no,Basic,bachelor,2011-01-07,Employed,m,31485,Rural,Married,118,17.0,79,0.0,6,personal auto,Personal L2,Offer2,Agent,294.905685,suv,Medsize,A,1,medium,high
1850,UQ34669,arizona,5757.442258,yes,Basic,master,2011-01-31,Employed,m,88997,Rural,Divorced,72,9.0,71,0.0,3,personal auto,Personal L3,Offer2,Branch,174.041566,four-door car,Small,A,1,high,high
1851,FL50705,california,8162.617053,no,Premium,high school or below,2011-01-14,Employed,f,66140,Suburban,Married,101,11.0,21,0.0,3,corporate auto,Corporate L2,Offer1,Call Center,484.8,four-door car,Medsize,A,1,medium,high
1852,LK57294,oregon,4786.009693,no,Basic,high school or below,2011-02-25,Employed,m,23402,Suburban,Married,61,15.149070740488469,38,0.384256105867471,7,personal auto,Personal L1,Offer4,Call Center,292.8,four-door car,Medsize,A,2,low,medium
1853,XJ61632,oregon,2034.993043,no,Basic,bachelor,2011-01-16,Unemployed,m,0,Suburban,Single,62,29.0,59,2.0,1,personal auto,Personal L1,Offer1,Web,446.4,four-door car,Medsize,A,1,low,medium
1854,FZ20933,oregon,4880.94644,no,Basic,high school or below,2011-01-24,Employed,m,24398,Suburban,Married,63,14.0,79,1.0,3,personal auto,Personal L2,Offer2,Agent,302.4,four-door car,Large,A,1,low,medium
1855,UF32671,washington,5291.395332,no,Basic,college,2011-02-26,Employed,f,57338,Suburban,Single,66,9.0,85,0.0,3,personal auto,Personal L1,Offer1,Call Center,316.8,four-door car,Small,A,2,medium,high
1856,ZA45956,california,13736.1325,yes,Premium,master,2011-02-13,Disabled,f,16181,Suburban,Divorced,181,22.0,79,0.0,8,personal auto,Personal L2,Offer1,Web,1261.319869,suv,Medsize,A,2,low,high
1857,YH60476,oregon,5780.182197,yes,Basic,high school or below,2011-02-26,Employed,m,51066,Suburban,Single,74,23.0,0,0.0,8,corporate auto,Corporate L3,Offer2,Call Center,787.993313,four-door car,Medsize,A,2,medium,high
1858,UU84036,california,8267.848845,no,Basic,high school or below,2011-01-01,Employed,m,59597,Urban,Married,69,6.0,59,0.0,2,special auto,Special L2,Offer1,Agent,222.791933,two-door car,Medsize,A,1,medium,high
1859,EN60878,oregon,6183.111464,no,Extended,bachelor,2011-02-13,Disabled,m,23712,Urban,Single,85,2.0,20,0.0,3,personal auto,Personal L2,Offer1,Branch,376.126419,four-door car,Medsize,A,2,low,high
1860,UR42360,california,16979.79757,yes,Basic,bachelor,2011-01-17,Employed,m,35095,Suburban,Divorced,73,25.0,56,0.0,2,personal auto,Personal L1,Offer2,Call Center,525.6,two-door car,Small,A,1,medium,high
1861,PE59735,oregon,22952.06778,no,Extended,high school or below,2011-02-15,Disabled,f,20031,Rural,Married,86,4.0,83,0.0,2,personal auto,Personal L3,Offer1,Branch,109.69048,four-door car,Medsize,A,2,low,high
1862,MD44130,oregon,5712.380598,no,Basic,high school or below,2011-01-28,Employed,m,24882,Suburban,Married,72,13.0,20,0.0,8,corporate auto,Corporate L2,Offer4,Branch,345.6,two-door car,Large,A,1,low,high
1863,CK14803,california,4325.491222,no,Basic,college,2011-02-02,Employed,m,94242,Rural,Divorced,107,15.0,70,0.0,1,personal auto,Personal L2,Offer2,Branch,52.121929,suv,Large,A,2,high,medium
1864,QL77686,nevada,4724.786102,no,Basic,college,2011-01-05,Employed,f,23986,Urban,Married,119,31.0,3,0.0,1,corporate auto,Corporate L3,Offer2,Call Center,463.335061,suv,Small,A,1,low,medium
1865,FV58292,oregon,5555.830205,yes,Basic,bachelor,2011-02-06,Employed,m,74015,Suburban,Single,72,12.0,61,0.0,6,personal auto,Personal L3,Offer2,Call Center,471.443077,four-door car,Small,A,2,high,high
1866,IC94523,california,11638.89947,yes,Basic,college,2011-01-26,Medical Leave,f,25370,Suburban,Married,102,10.0,77,0.0,2,personal auto,Personal L2,Offer1,Branch,489.6,sports car,Large,A,1,low,high
1867,ZC97171,arizona,7627.431532,no,Extended,high school or below,2011-02-15,Employed,f,60479,Rural,Single,96,1.0,44,0.0,3,personal auto,Personal L3,Offer3,Call Center,85.155359,four-door car,Medsize,A,2,medium,high
1868,OR40901,california,12731.95161,yes,Basic,doctor,2011-01-14,Employed,m,40870,Suburban,Married,105,3.0,56,0.0,2,corporate auto,Corporate L3,Offer1,Agent,504.0,suv,Large,A,1,medium,high
1869,UM14135,nevada,3265.156348,yes,Extended,bachelor,2011-01-26,Employed,f,25820,Suburban,Divorced,82,10.0,69,0.0,1,personal auto,Personal L1,Offer1,Agent,393.6,four-door car,Medsize,A,1,low,medium
1870,HG64216,california,2832.513487,no,Basic,college,2011-01-29,Employed,m,37124,Suburban,Married,72,4.0,17,0.0,1,personal auto,Personal L3,Offer2,Branch,430.518791,two-door car,Medsize,A,1,medium,medium
